MRI image, Dice Score
083, 0.0167
030, 0.0027
077, 0.0019
057, 0.0917
027, 0.0559
024, 0.0122
070, 0.0000
094, 0.0002
032, 0.0000
047, 0.0000
048, 0.0214
021, 0.0442
089, 0.0000
043, 0.0078
096, 0.0000
061, 0.0398
039, 0.4335
016, 0.0250
037, 0.0000
090, 0.0000
020, 0.0111
018, 0.0011
052, 0.0000
088, 0.0000
099, 0.0065
084, 0.0000
049, 0.0000
051, 0.0000
100, 0.0036
069, 0.2349
029, 0.0061
091, 0.0199
026, 0.0179
074, 0.0592
019, 0.0000
095, 0.4198
035, 0.0190
068, 0.0000
015, 0.0000
013, 0.0000

DICE mean: 0.0388
